Time	Par	Revoluciones	Potencia	Valve	Throttle	P1 GASOIL	P2 ACEITE	T1 ESCAPE A	T2 ESCAPE B 	T3 AGUA SAL B	T4 AGUA SAL A	Pattern Phase	Pattern Timer	Pass/Fail	Pass/Fail Description	Aux 1	P3 ESCAPE B	P4 ESCAPE A	P5 SAL AGUA	P6 ENT AGUA	P7 ADMIS A	P8 ADMIS B	P9 ATMOSFERICA	T5 ENTRADA AGUA	T6 AIRE ADM B	T7 GASOIL	T8 AIRE ADM A	T9 ASPIRACION A	T10 AMBIENTE	T11 ASPIRACION B	T12 ACEITE	Temp 13	Temp 14	Temp 15	Temp 16	CARRERA	KICK-DOWN1	KICK-DOWN2	KW+	CALC1	CALC2	CALC3	DIF_ESCAPE	CALC5	CALC6	CALC7	DIF. TEMP AGUA	CALC9	Fuelmaster	Fuelslave	CONSUMO_LPH	CONSUM_KGH	TEMP_MKE	P_ACEITE_MKE	P_AIRE_MKE	VENTILADOR1	VENTILADOR2
44134.0184375	3550.00381859228	1501.93225	558.291949674292	27.5932342667905	100	3.71922908068572	2.54202010825832	399.1333365264	418.6777811272	99.4222230176	98.7666674568	F9_TABLA_DESC. VENTILA 1400	1.08899097758695E-02	0		7.12824638467036E-02	34.7803249219391	7.2555436238057	1.52410424526316	1.01817927569767	0.370967919945652	0.314596849480875	13.3951846479312	98.4111118984	94.6555563128	29.7000002376	95.8444452112	23.5333335216	26.6777779912	25.6222224272	97.8666674496	-9999	-9999	-9999	-9999	10.12	1	1	591.458650864152	750.44	785.62	-35.1800000000001	-19.5444446008	208.96	210.78	1.82000000000002	1.0111111192	33.82	1.58280000000176	1.42175000000176	157.19	133.6115	101.25	2.45	0.22	1	1
44134.0184375	3555.57948543019	1501.174	558.890550294101	27.5932342667905	100	3.66407102228572	2.54202010825832	399.1333365264	418.6777811272	99.5222230184	98.9666674584	F10_ENFR_DESC. VENTILA 1400	1.08957346674288E-02	0		7.13735800153598E-02	39.6142005890561	7.2555436238057	1.54829637614034	1.01817927569767	0.361600043179348	0.31648066295082	13.5527750555539	98.4111118984	94.6555563128	29.7000002376	95.8444452112	23.5333335216	26.6777779912	25.6222224272	97.8666674496	-9999	-9999	-9999	-9999	10.12	1	1	592.092812820464	750.44	785.62	-35.1800000000001	-19.5444446008	208.96	211.14	1.82000000000002	1.0111111192	33.82	1.58280000000176	1.42175000000176	157.19	133.6115	101.25	2.45	0.22	1	1
44134.0184490741	3560.51451564726	1502.28783333333	560.076699963645	18.299285733777	81.4121029339731	3.55375490548572	2.54202010825832	399.1333365264	418.6777811272	99.5222230184	98.9666674584	F10_ENFR_DESC. VENTILA 1400	1.08957346674288E-02	0		7.13735800153598E-02	43.2690821910226	7.16706138449101	1.51604020163742	1.01817927569767	0.361600043179348	0.31648066295082	13.5527750555539	98.4111118984	94.7555563136	29.7000002376	95.8444452112	23.5333335216	26.6777779912	25.6222224272	97.8666674496	-9999	-9999	-9999	-9999	10.18	1	1	593.349428617415	750.44	785.62	-35.1800000000001	-19.5444446008	209.14	211.14	2	1.11111112	34	1.58490000000176	1.42822000000176	161.050000000001	136.892500000001	101.36	2.45	0.227	1	1
44134.0184490741	3564.62004965459	1500.79825	560.165757871966	9.3940112895173	63.6015540454537	3.66407102228572	2.54202010825832	404.6333365704	418.6777811272	99.5222230184	98.9666674584	F10_ENFR_DESC. VENTILA 1400	1.09015359848854E-02	0		0.071464696184016	29.0032540027018	7.16706138449101	1.53216828888889	1.02619643534884	0.352232166413044	0.318364476420765	13.5527750555539	98.4111118984	94.7555563136	29.7000002376	95.8444452112	23.5333335216	26.6777779912	25.6222224272	97.8666674496	-9999	-9999	-9999	-9999	10.18	1	1	593.349428617415	760.34	785.62	-25.2800000000001	-14.0444445568	209.14	211.14	2	1.11111112	34	1.58490000000176	1.42822000000176	161.050000000001	136.892500000001	101.36	2.45	0.227	1	1
44134.0184606481	3324.71299271369	1432.81708333333	504.335242534956	0	19.4855440873653	4.18413271577144	2.33962997225049	410.1333366144	429.8777812168	99.72222302	99.0666674592	F10_ENFR_DESC. VENTILA 1400	1.09073183048167E-02	0		7.12824638467036E-02	19.8071002945281	5.22045211956754	1.31443911099415	1.05826507395349	0.312887083994565	0.299526341721312	13.5527750555539	98.5111118992	94.7555563136	29.7000002376	95.8444452112	23.5333335216	26.6777779912	25.722222428	97.8666674496	-9999	-9999	-9999	-9999	10.2	0	0	534.296513333202	770.24	805.78	-35.54	-19.7444446024	209.32	211.32	2	1.11111112	34	1.58702000000176	1.42561000000176	156.68	133.178	101.55	2.44	0.232	1	1
44134.0184722222	1629.4288470036	1009.6195	194.354478271911	0	0	4.00289909531429	1.61102548262231	418.5333366816	435.3777812608	100.0222230224	99.4666674624	F10_ENFR_DESC. VENTILA 1400	1.09247935688472E-02	0		7.13735800153598E-02	3.53698219545144	3.09687837601466	1.17735036935672	1.01817927569767	0.1723689325	0.188381346994536	13.5527750555539	98.8111119016	94.8555563144	29.8000002384	96.0444452128	23.6333335224	26.777777992	25.8222224288	97.9666674504	-9999	-9999	-9999	-9999	8.22	0	0	205.900582258393	785.36	815.68	-30.3199999999999	-16.8444445792	209.86	212.04	2.18000000000001	1.2111111208	34.18	1.58280000000176	1.42822000000176	161.41	137.1985	101.91	2.18	0.203	1	1
44134.0184837963	548.109172920934	797.203416666667	45.6665662127337	0	0	4.11321521211429	1.56245184998043	418.4333366808	445.0777813384	100.1222230232	99.666667464	F10_ENFR_DESC. VENTILA 1400	1.09362805233104E-02	0		7.12824638467036E-02	5.4233726996922	3.09687837601466	1.17735036935672	1.01817927569767	0.114288096548913	0.128099315956284	13.5527750555539	99.0111119032	94.9555563152	29.7000002376	95.944445212	23.5333335216	26.6777779912	25.722222428	97.7666674488	-9999	-9999	-9999	-9999	7.38	0	0	48.3795004702101	785.18	833.14	-47.96	-26.6444446576	210.22	212.22	2	1.11111112	34	1.54684000000176	1.41416000000176	132.679999999999	112.777999999999	102.18	1.6	0.132	1	1
44134.0184953704	411.079702474455	807.954916666667	34.7583297960981	0	0	4.08169632160001	1.56245184998043	416.5333366656	446.9777813536	100.3222230248	99.7666674648	F10_ENFR_DESC. VENTILA 1400	1.09477311125374E-02	0		7.12824638467036E-02	4.00857982151163	3.18536061532935	1.17735036935672	1.01817927569767	0.08618446625	9.98421139071039E-02	13.3951846479312	99.111111904	94.8555563144	29.7000002376	96.0444452128	23.5333335216	26.6777779912	25.722222428	97.7666674488	-9999	-9999	-9999	-9999	7.22	0	0	36.8232335420295	781.76	836.56	-54.8	-30.444444688	210.4	212.58	2.17999999999998	1.2111111208	34.18	1.54684000000176	1.54386000000176	2.97999999999909	2.53299999999923	102.38	1.5	0.084	1	1
44134.0185069444	239.27741993328	831.170416666666	20.8074191593009	0	0	4.12109493474286	1.57864306086106	412.1333366304	446.277781348	100.5222230264	100.0666674672	F10_ENFR_DESC. VENTILA 1400	1.09593780071009E-02	0		7.11913476780474E-02	7.19186379741794	3.36232509395876	1.19347845660818	1.02619643534884	6.55751373641305E-02	6.78172849180328E-02	13.3951846479312	99.2111119048	94.8555563144	29.7000002376	96.0444452128	23.5333335216	26.6777779912	25.722222428	97.7666674488	-9999	-9999	-9999	-9999	7.19	0	0	22.0435348765189	773.84	835.3	-61.46	-34.1444447176	210.58	212.94	2.18000000000001	1.2111111208	34.18	1.54875000000176	1.54573000000176	3.01999999999936	2.56699999999945	102.65	1.5	0.053	1	1
44134.0185185185	176.919254725009	836.481416666667	15.4943597296466	0	0	4.07381659897144	1.57864306086106	409.6333366104	444.6777813352	100.5222230264	100.166667468	F10_ENFR_DESC. VENTILA 1400	1.09709289681632E-02	0		7.11913476780474E-02	8.8424554886286	3.36232509395876	1.20154250023392	1.034213595	5.05865345380435E-02	5.65144040983607E-02	13.5527750555539	99.3111119056	94.8555563144	29.7000002376	96.0444452128	23.5333335216	26.6777779912	25.722222428	97.7666674488	-9999	-9999	-9999	-9999	7.19	0	0	16.414840133459	769.34	832.42	-63.08	-35.0444447248	210.76	212.94	2.18000000000001	1.2111111208	34.18	1.54875000000176	1.53465000000176	14.1000000000009	11.9850000000008	102.95	1.5	0.035	1	1
